SCAPS 3.3.11 ELIS-UGent: Version scaps3311.exe, dated 07-10-2023, 11:15:54
Simulation of I-V curves
Single shot simulation #	1
Calculation started : 	18-11-2023 at 21:43:28

problem definition file :	c:\Program Files (x86)\Scaps3311\def\CdTeSe.def
last saved: 	18-11-2023 at 18:11:51

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Program Files (x86)\Scaps3311\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 14:59:48
Neutral density filter: ND	  0.0000
Transmission of ND filter:	  1.0000e+00
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	  100.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)
   0.450000	   -2.52555471e+01	        1.57476473e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.05232142e-02	    6.69532589e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.460000	   -2.52554471e+01	        1.57576543e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.05662769e-02	    6.70102665e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.470000	   -2.52553369e+01	        1.57686669e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.06159715e-02	    6.70706970e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.480000	   -2.52552155e+01	        1.57808086e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.06731873e-02	    6.71348986e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.490000	   -2.52550815e+01	        1.57942098e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.07388577e-02	    6.72032404e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.500000	   -2.52549335e+01	        1.58090053e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.08139411e-02	    6.72761120e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.510000	   -2.52547703e+01	        1.58253323e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.08993968e-02	    6.73539263e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.520000	   -2.52545903e+01	        1.58433282e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.09961586e-02	    6.74371234e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.530000	   -2.52543923e+01	        1.58631287e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.11051067e-02	    6.75261806e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.540000	   -2.52541749e+01	        1.58848667e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.12270405e-02	    6.76216261e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.550000	   -2.52539369e+01	        1.59086714e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.13626539e-02	    6.77240605e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.560000	   -2.52536769e+01	        1.59346700e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.15125158e-02	    6.78341847e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.570000	   -2.52533937e+01	        1.59629894e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.16770575e-02	    6.79528367e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.580000	   -2.52530860e+01	        1.59937605e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.18565696e-02	    6.80810353e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.590000	   -2.52527524e+01	        1.60271244e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.20512121e-02	    6.82200315e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.600000	   -2.52523912e+01	        1.60632402e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.22610393e-02	    6.83713628e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.610000	   -2.52520006e+01	        1.61022955e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.24860473e-02	    6.85369081e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.620000	   -2.52515784e+01	        1.61445181e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.27262457e-02	    6.87189352e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.630000	   -2.52511217e+01	        1.61901897e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.29817632e-02	    6.89201334e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.640000	   -2.52506270e+01	        1.62396608e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.32529876e-02	    6.91436204e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.650000	   -2.52500899e+01	        1.62933660e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.35407452e-02	    6.93929153e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.660000	   -2.52495052e+01	        1.63518389e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.38465152e-02	    6.96718734e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.670000	   -2.52488663e+01	        1.64157256e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.41726743e-02	    6.99845815e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.680000	   -2.52481656e+01	        1.64857986e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.45227616e-02	    7.03352245e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.690000	   -2.52473939e+01	        1.65629697e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.49017594e-02	    7.07279372e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.700000	   -2.52465406e+01	        1.66483049e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.53163899e-02	    7.11666594e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.710000	   -2.52455931e+01	        1.67430455e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.57754421e-02	    7.16550126e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.720000	   -2.52445372e+01	        1.68486362e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.62901547e-02	    7.21962071e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.730000	   -2.52433559e+01	        1.69667680e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.68746950e-02	    7.27929853e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.740000	   -2.52420292e+01	        1.70994385e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.75467867e-02	    7.34475987e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.750000	   -2.52405332e+01	        1.72490360e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.83285507e-02	    7.41618097e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
   0.760000	   -2.52388390e+01	        1.74184551e-01	    2.54131997e+01	    0.00000000e+00	    0.00000000e+00	    9.92476390e-02	    7.49369120e-02	    0.00000000e+00	    0.00000000e+00	    0.00000000e+00
