bp 1:	 1.000e+00	 1.000e+00	 1.000e+00	 1.000e+00	 1.000e+00	 3.750e+00	 3.750e+00	 3.750e+00	 3.750e+00	 3.750e+00	 6.500e+00	 6.500e+00	 6.500e+00	 6.500e+00	 6.500e+00	 9.250e+00	 9.250e+00	 9.250e+00	 9.250e+00	 9.250e+00	 1.200e+01	 1.200e+01	 1.200e+01	 1.200e+01	 1.200e+01
bp 2:	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02	 5.000e-03	 8.750e-03	 1.250e-02	 1.625e-02	 2.000e-02
29	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02	  1.30525494e-02
30	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02	  1.50463724e-02
31	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02	  1.73338960e-02
32	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02	  1.99483053e-02
33	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02	  2.29235222e-02
34	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02	  2.62934483e-02
35	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02	  3.00910522e-02
36	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02	  3.43473134e-02
37	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02	  3.90900461e-02
38	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02	  4.43426375e-02
